344	364	365
23	2	22
65	44	64
44	23	43
23	3	2
43	23	22
24	3	23
24	4	3
25	5	4
24	25	4
47	27	26
44	24	23
25	26	5
45	25	24
45	46	25
66	46	45
69	89	90
66	67	46
66	87	67
67	68	47
67	88	68
65	86	66
108	128	129
87	88	67
108	107	128
85	65	64
66	45	65
64	44	43
65	45	44
107	87	86
106	86	85
87	66	86
106	107	86
130	150	151
127	107	106
127	128	107
132	152	153
149	150	129
149	170	150
148	128	127
149	148	169
149	128	148
191	170	190
212	211	232
191	190	211
233	234	213
192	191	212
190	170	169
191	192	171
170	171	150
170	191	171
130	151	131
150	171	151
194	193	214
172	192	193
193	194	173
195	216	196
173	153	152
154	134	133
193	173	172
194	215	195
88	109	89
151	152	131
130	129	150
88	87	108
110	109	130
109	108	129
130	109	129
87	107	108
131	110	130
88	108	109
132	111	131
89	109	110
133	132	153
131	152	132
92	112	113
111	132	112
173	174	153
176	156	155
113	133	134
112	132	133
175	174	195
154	153	174
194	195	174
261	240	260
215	216	195
215	236	216
175	196	176
217	237	238
155	175	176
154	174	175
196	197	176
217	216	237
155	156	135
179	200	180
176	177	156
176	197	177
197	198	177
220	240	241
177	178	157
177	198	178
179	199	200
178	198	199
134	135	114
156	157	136
154	155	134
154	175	155
94	114	115
113	134	114
94	115	95
114	135	115
158	137	157
115	135	136
75	74	95
73	72	93
31	51	52
94	95	74
52	72	73
92	91	112
51	71	72
70	91	71
114	93	113
114	94	93
90	91	70
90	110	111
131	111	110
112	91	111
69	90	70
89	110	90
49	69	70
48	68	69
72	92	93
71	91	92
28	49	29
27	47	48
49	48	69
49	28	48
26	6	5
27	7	6
9	8	29
8	28	29
27	48	28
50	30	29
52	73	53
49	50	29
49	70	50
50	51	30
50	71	51
31	52	32
51	72	52
9	30	10
11	31	32
30	51	31
75	55	54
32	52	53
54	33	53
34	13	33
56	55	76
56	35	55
74	54	53
55	34	54
96	75	95
76	55	75
94	74	73
75	54	74
138	118	117
95	115	116
116	96	95
97	76	96
96	76	75
97	98	77
99	78	98
56	76	77
79	78	99
57	56	77
96	117	97
140	141	120
119	99	98
100	79	99
80	79	100
58	78	79
82	81	102
144	123	143
18	38	39
58	79	59
58	57	78
58	37	57
57	36	56
14	34	35
36	16	15
16	36	37
35	56	36
37	17	16
38	59	39
37	38	17
37	58	38
81	82	61
40	39	60
20	19	40
62	41	61
19	39	40
41	20	40
21	20	41
61	41	40
42	21	41
82	62	61
42	41	62
42	62	63
63	62	83
84	63	83
103	104	83
104	84	83
123	124	103
125	105	104
102	103	82
125	126	105
80	60	59
61	40	60
60	81	61
103	83	82
80	81	60
80	100	101
80	101	81
121	141	142
101	102	81
144	164	165
101	122	102
101	100	121
144	143	164
142	141	162
166	167	146
123	102	122
166	187	167
103	102	123
103	124	104
123	144	124
124	125	104
145	144	165
124	145	125
167	147	146
146	147	126
125	145	146
124	144	145
145	166	146
188	168	167
188	187	208
188	167	187
167	168	147
209	230	210
188	189	168
188	209	189
188	208	209
209	210	189
209	229	230
207	186	206
165	166	145
165	186	166
226	247	227
249	229	228
227	207	206
165	164	185
206	186	185
187	166	186
208	207	228
208	187	207
184	205	185
226	206	205
224	204	203
204	183	203
162	183	163
182	203	183
183	184	163
183	204	184
223	244	224
205	184	204
122	142	143
120	100	99
122	121	142
122	101	121
119	120	99
119	140	120
98	118	119
117	116	137
182	162	161
163	142	162
159	139	138
140	119	139
179	159	158
139	118	138
97	117	118
96	116	117
157	137	136
138	117	137
158	159	138
181	182	161
199	179	178
180	159	179
159	160	139
159	180	160
180	181	160
221	200	220
203	202	223
203	182	202
181	201	202
180	200	201
200	221	201
243	242	263
241	221	220
222	201	221
241	242	221
264	265	244
223	243	244
222	242	243
199	219	220
263	284	264
262	263	242
284	285	264
262	283	263
304	303	324
307	306	327
325	304	324
284	305	285
283	303	304
283	284	263
283	304	284
286	306	307
285	305	306
306	286	285
264	244	243
307	327	328
306	326	327
328	308	307
309	288	308
287	266	286
246	226	225
307	287	286
288	267	287
266	265	286
266	245	265
263	264	243
285	265	264
265	245	244
266	287	267
223	224	203
245	246	225
266	246	245
288	289	268
224	225	204
224	245	225
267	268	247
289	290	269
289	269	268
249	228	248
228	227	248
228	207	227
267	247	246
248	227	247
230	250	251
229	249	250
230	231	210
230	251	231
272	271	292
272	251	271
248	269	249
248	268	269
290	270	269
271	250	270
272	273	252
272	293	273
293	314	294
273	293	294
272	292	293
334	314	313
315	294	314
333	312	332
290	289	310
271	291	292
270	290	291
292	312	313
291	290	311
266	267	246
288	268	267
350	351	330
331	311	310
312	311	332
312	291	311
330	331	310
332	311	331
374	353	373
332	331	352
398	377	397
355	375	376
334	333	354
334	313	333
352	353	332
352	373	353
335	336	315
356	355	376
336	335	356
357	356	377
336	356	357
335	355	356
397	377	376
378	357	377
418	398	397
399	378	398
419	399	398
419	440	420
399	419	420
418	439	419
420	440	441
417	396	416
376	396	397
375	374	395
419	439	440
418	438	439
375	395	396
374	394	395
418	417	438
418	397	417
416	436	437
415	435	436
413	392	412
435	414	434
414	413	434
414	393	413
352	351	372
350	349	370
413	393	392
414	394	393
371	351	350
371	372	351
308	329	309
351	331	330
309	329	330
328	349	329
371	370	391
371	350	370
392	372	371
393	373	372
347	348	327
369	349	348
325	346	326
367	388	368
305	325	326
324	345	325
325	345	346
387	386	407
369	368	389
348	347	368
388	409	389
431	432	411
390	369	389
370	349	369
410	390	389
410	431	411
434	413	433
391	411	412
390	410	411
430	431	410
367	387	388
430	410	409
368	388	389
367	366	387
408	407	428
366	365	386
429	408	428
409	388	408
430	409	429
407	427	428
406	405	426
404	384	383
385	365	364
427	406	426
385	384	405
407	406	427
385	405	406
386	365	385
345	324	344
341	362	342
384	385	364
362	363	342
383	384	363
340	341	320
363	364	343
303	323	324
342	363	343
323	344	324
343	364	344
406	386	385
407	408	387
388	387	408
366	386	387
365	345	344
366	367	346
366	346	345
367	347	346
305	304	325
305	284	304
282	302	303
280	279	300
282	281	302
257	237	236
220	219	240
260	239	259
283	282	303
261	281	282
261	262	241
261	282	262
197	218	198
217	196	216
240	239	260
219	198	218
241	240	261
219	239	240
261	260	281
279	258	278
239	238	259
217	197	196
239	218	238
239	219	218
218	217	238
218	197	217
260	259	280
238	237	258
299	279	278
280	259	279
341	321	320
301	281	280
301	280	300
281	260	280
321	301	300
302	281	301
322	302	301
323	303	302
320	321	300
342	343	322
321	322	301
321	342	322
339	319	318
340	320	319
320	299	319
276	275	296
278	277	298
257	258	237
234	255	235
277	278	257
298	299	278
298	319	299
259	258	279
259	238	258
216	236	237
215	194	214
192	213	193
235	236	215
213	234	214
256	236	235
258	257	278
236	256	257
232	233	212
254	255	234
193	213	214
192	212	213
253	233	232
254	234	233
274	275	254
253	254	233
255	256	235
295	275	274
275	255	254
275	276	255
297	276	296
277	256	276
317	297	296
318	298	297
296	275	295
338	317	337
318	297	317
317	316	337
317	296	316
402	381	401
380	359	379
359	358	379
359	338	358
358	338	337
339	340	319
359	339	338
359	360	339
321	341	342
362	383	363
340	361	341
340	339	360
360	361	340
360	381	361
380	360	359
380	401	381
383	382	403
383	362	382
405	404	425
381	360	380
424	404	403
405	384	404
405	425	426
404	424	425
403	423	424
403	402	423
403	382	402
382	381	402
382	361	381
400	401	380
422	402	401
401	400	421
402	422	423
401	421	422
