m,n,mu,nu,Re[A],Im[A],Re[B],Im[B]
1,1,-2,3,-67.79544987126029,4.592720217007063,0.2570387544080416,8.5907826359913
1,1,-1,3,41.711672784698024,-26.918014513312144,-7.952029144389345,-13.574695757258661
1,1,0,3,-6.787510771292797,13.358593737505304,9.138058118263997,5.488621046925359
1,1,1,3,-0.2583273765667429,0.413864415249564,-1.9394210068664826,-0.07933735181371694
1,1,2,3,-0.32633106325235917,-0.4287299523388487,-0.7963191025040618,0.3936580130264358
1,1,3,3,-0.08883336048156888,-0.04401539207965423,-0.075285201245404,0.1073318861292431
1,1,-4,4,713.0781679978014,-532.5278327619552,0.,0.
1,1,-3,4,-678.1545560261108,1481.2398617179888,101.11726707761004,46.66359444692709
1,1,-2,4,-89.890353232317,-1266.5909846724203,-203.38634961378085,13.778160651021189
1,1,-1,4,273.05742049475947,424.5470000540746,128.13394330229718,-81.70391762685006
1,1,0,4,-71.89305617112441,-38.935162876646885,-24.346424724580388,44.23346708329103
1,1,1,4,-7.679890270797915,-0.05756173833276361,0.005188274002198621,-1.6439915578906017
1,1,2,4,2.0456135137955864,-1.146594839507391,-1.2033374844854368,-2.219312712559429
1,1,3,4,0.27820167795652234,-0.44019648231668457,-0.3544880478312061,-0.22919732799967935
1,1,4,4,0.003535587619728124,-0.05465674599654889,-0.04033637582752386,-0.0029884142133525683
1,1,-5,5,-4354.807801699812,-30551.00240379637,0.,0.
1,1,-4,5,33806.60808405834,45255.552265676444,1960.9649619939537,-1464.451540095377
1,1,-3,5,-41394.62848821163,-18944.5190772438,-1864.9250290718041,4073.4096197244676
1,1,-2,5,20188.167442038186,-1431.9842363691466,-247.70336894217328,-3499.9999594555675
1,1,-1,5,-4079.3291576596885,2619.662187939865,766.5279636084962,1194.168831100463
1,1,0,5,173.9125964960316,-318.5629463381606,-215.65566148861078,-117.85291782438232
1,1,1,5,0.003811412958644168,-84.3674178011346,-17.310121266920817,-0.002453553638155924
1,1,2,5,3.7249321309453096,6.807447107868232,7.18963539999941,-3.926392619947252
1,1,3,5,2.2426800766365442,1.438967693608255,0.9129362596839087,-1.421370816981896
1,1,4,5,0.30914985886448326,0.021839433094465323,0.012336088583953176,-0.17360761901708582
1,1,5,5,0.021174992968042296,-0.009697169240706089,-0.005136051080183901,-0.011226681351028216
-2,2,-1,1,0.008365360086111252,-0.0378846734461302,0.018695357894029922,0.07776023796190691
-2,2,0,1,0.021510057498686858,-0.03066625317978374,0.014664661064416575,0.016191858626786106
-2,2,1,1,0.0011403153293240013,-0.010167956738869697,0.,0.
-2,2,-2,2,0.5471967282026728,-0.031068165785671602,-0.8618112686182365,-0.4047653096122281
-2,2,-1,2,0.3419504186351539,0.5379146369258913,-0.744456878431778,0.31177127094829327
-2,2,0,2,0.32713290669799394,0.20671755621865687,-0.1075502874934343,0.15333126589891874
-2,2,1,2,0.0896363907278308,0.006640920474116819,-0.0019005255488733352,0.016946594564782824
-2,2,2,2,0.011178326863085694,-0.005073240653246598,0.,0.
-2,2,-3,3,9.454749865452978,2.1477599849130766,-11.435385250445126,18.209227253409615
-2,2,-2,3,7.769202554685691,1.582025048211519,0.6559067519766877,-4.231311289577857
-2,2,-1,3,-5.799940663471981,3.295561238813521,-2.7862554462207054,-5.398367455681283
-2,2,0,3,-1.886341325771961,2.9434744149663445,-1.1962914871684367,-0.7801829519590504
-2,2,1,3,-0.05189146530385213,0.7325629661891876,-0.15686368377370388,-0.01162161082970443
-2,2,2,3,0.03922075370322251,0.08573102122603363,-0.007824828804159986,0.0035512684572726193
-2,2,3,3,0.0068762266330011776,0.005138213311768496,0.,0.
-2,2,-4,4,534.1968756045588,-351.3384440331461,310.54555788973784,488.54199433829393
-2,2,-3,4,-101.76686174129851,199.6139626353962,-320.1611324859155,-177.43772792020428
-2,2,-2,4,-1.3999948812738647,188.75748424438214,-38.8976173219147,0.33332571213654355
-2,2,-1,4,-21.35103111669907,-38.7506526367734,34.95535834481413,-18.97197636165395
-2,2,0,4,-24.81597124354298,-15.927612512713333,5.917144667300125,-9.198418283056437
-2,2,1,4,-6.12570846144103,-0.4343251685635111,0.09477301594212262,-1.3308148872271812
-2,2,2,4,-0.6971022560895412,0.3190340252011776,-0.03922075370322251,-0.08573102122603364
